id,advmath8,urban,region,gender,famsize,parmarl8,homelang,slfcnc08,slfcnc10,slfcnc12,schtyp8,tcherint,late12,cuts12,absent12,approg,hwkin12,hwkout12,excurr12,computer,hsprog,unitengl,unitmath,unitcalc,schattrt,apoffer,nursery,algebra8,numinst,edexpect,expinc30,achrdg08,achmat08,achsci08,achsls08,achrdg10,achmat10,achsci10,achsls10,achrdg12,achmat12,achsci12,achsls12,cigarett,alcbinge,marijuan,ses
1,1,1,1,0,4,2,4,27,22,36,2,2,3,0,2,1,2,3,5,1,2,4,3,1,94,6,1,0,1,4,55000,41.94,47.44,37.83,57.4,41.49,55.23,40.69,55.84,52.56,59.69,47.81,55.23,0,1,0,23
2,NA,1,1,1,7,6,4,29,23,22,2,2,0,0,1,1,4,3,6,0,2,4,4,0,94,6,1,1,2,3,50000,53.86,54.49,43.89,60.99,48.7,53.25,38.09,51.45,53.12,55.36,44.86,61.19,0,0,0,20
3,0,2,2,0,4,6,4,17,19,33,2,2,3,2,2,1,2,2,0,0,2,4,3,0,97,2,1,0,1,1,35000,53.06,58.05,53.64,50.62,56.94,55.24,50.31,45.26,54.79,56.73,45.78,45.34,1,1,1,20
4,0,1,2,1,3,6,4,18,21,29,3,2,0,0,1,0,3,3,1,0,2,4,3,0,97,5,1,0,1,2,24000,41.86,43.09,45.4,40.69,42.64,52.18,43.42,45.12,44.77,51.08,39.23,35.22,0,0,1,29
5,1,1,2,0,4,6,4,32,35,41,3,1,1,0,1,1,1,3,2,1,1,4,4,0,97,5,1,1,1,3,60000,67.97,64.91,68.28,50.42,63.29,58.64,63.9,67.21,61.99,55.75,66.78,65.25,0,1,1,21
6,0,1,2,1,4,6,4,9,16,27,3,2,3,0,1,1,4,5,0,0,2,4,4,0,97,5,0,1,1,4,25000,62.84,61.04,53.38,54.42,65.66,65.51,61.55,63.37,65.02,61.82,61.97,62.77,1,1,1,20
7,1,1,2,1,4,NA,4,20,26,33,3,1,1,0,1,0,8,6,7,0,2,3,4,0,97,5,NA,NA,1,2,28000,64.53,66.62,62.79,56.47,63.43,64.75,69.23,66.5,60.49,63.03,64.01,61.02,0,0,0,19
8,1,1,2,1,3,6,4,32,28,43,2,1,0,0,1,1,8,8,4,1,2,4.5,5,0,95,6,1,1,1,3,30000,70.55,55.02,58.83,52.93,63.86,56.25,49.5,49.63,64.59,48.74,50.01,48.79,0,0,0,20
9,1,1,2,1,5,6,4,23,21,29,2,2,0,0,2,0,1,8,0,1,4,4.5,3,0,NA,NA,0,1,2,2,25000,56.9,55.53,47.51,44.06,62.38,55.62,47.22,47.97,58.11,55.58,53.24,59.18,0,0,0,18
10,0,1,2,0,5,6,4,30,33,41,2,1,0,0,2,0,2,2,2,1,2,4,4,0,97,0,0,0,1,4,30000,56.02,58.93,69.31,64.68,66,61.4,62.59,68.83,60.36,61,64.51,66.05,0,0,0,29
11,0,2,2,0,5,6,4,26,19,29,2,2,1,0,1,0,2,1,1,0,4,3,2,0,95,0,NA,0,2,1,40000,51.89,50.8,54.17,59.45,61.63,59.42,63,59.32,47.41,57.53,58.02,64.3,0,1,0,13
12,0,1,2,1,9,6,2,13,15,17,1,2,1,0,3,0,2,3,1,0,2,5,4,0,84,0,NA,0,2,2,NA,40.7,38.38,36.43,44.68,46.24,36.31,37,46.08,41.74,35.25,39.45,40.56,0,0,0,6
13,1,2,2,1,5,6,3,27,28,40,1,3,0,0,1,1,4,2,3,0,2,3,4,0,96,0,0,0,1,4,20000,58.4,56.68,55.31,48.76,51.57,56.74,58.13,48.79,55.25,60.18,53.2,57.08,0,1,1,8
14,1,2,2,1,5,6,3,30,31,41,1,2,0,0,0,1,5,8,3,0,1,5,4.5,1,NA,4,1,1,1,3,30000,66.5,54.7,64.78,59.68,60.73,55.78,66.98,59.04,64.83,61.27,64.07,64.81,0,0,0,24
15,0,2,2,0,3,6,4,20,21,20,1,3,2,1,0,1,3,2,0,1,1,4,3.5,0,NA,4,1,0,1,4,25000,41.15,47.02,40.88,46.78,47.35,49.13,56.54,51.6,53.78,48.39,50.03,60.06,0,0,1,17
16,0,2,2,1,4,1,4,19,12,9,1,2,1,0,2,0,3,0,3,1,2,4,3,0,88,4,NA,0,2,1,35000,51.39,54.75,51.63,58.61,55.85,52.84,48.06,55.61,51.34,50.27,48.21,55.86,0,0,0,18
17,1,1,2,1,4,NA,4,30,33,29,1,2,4,1,1,1,7,6,2,0,2,4,3.5,0,91,32,NA,NA,1,2,25000,60.46,63.94,51.64,54.02,56.34,62.74,44.96,46.46,60.3,61.75,58.69,51.73,0,0,0,17
18,0,3,2,1,4,NA,4,27,21,29,1,2,1,0,2,0,3,3,4,0,2,4,4,0,96,32,NA,NA,1,4,60000,51.96,51.36,55.97,61.77,63.72,61.25,54,59.15,57.97,64.09,49.97,55.77,0,0,0,6
19,0,3,2,0,7,6,4,27,28,43,1,2,0,1,4,0,4,2,2,0,2,4,4,0,96,32,NA,0,1,4,35000,64.35,60.29,74.29,66.38,66,55.47,69.51,72.89,62.24,59.08,68.29,67.38,0,0,0,15
20,0,3,2,1,5,6,4,17,21,27,1,1,1,0,3,0,4,6,5,1,2,4,3,0,96,32,0,0,1,1,35000,56.7,47.79,54.68,58.73,54.59,53.07,60.02,52.75,52.29,49.73,55.26,49.3,0,0,0,26
21,1,1,2,1,4,6,4,20,15,21,1,1,4,5,1,1,3,3,1,0,1,4.5,3.5,0,90,2,0,1,4,3,50000,58.63,58.56,58.37,53.04,44.05,54.25,45.09,43.14,58.45,54.76,58.86,49.03,0,0,0,18
22,0,3,2,1,6,6,4,17,27,25,1,2,0,0,1,0,3,2,3,0,2,4.5,2.5,0,96,NA,0,0,2,2,22000,57.31,44.11,55.4,64.95,63.84,43.97,49.66,54.94,56.91,51.19,58.28,56.28,0,0,0,10
23,0,3,2,1,3,1,4,17,27,40,1,2,0,0,3,0,3,3,2,0,3,4.5,2,0,96,NA,0,0,2,2,30000,60.16,54.74,53.34,60.98,58.74,49.91,46.59,59.98,58.96,49.84,51.62,61.22,0,1,0,18
24,1,3,2,0,4,6,4,30,33,43,1,2,0,1,2,0,7,5,4,1,1,4,4,0,95,0,1,1,1,4,80000,67.63,74.29,73.04,66.44,64.6,68.19,68.26,70.84,61.21,66.48,68.53,60.65,0,1,0,22
25,1,3,2,1,4,6,4,25,35,41,1,2,0,0,1,1,2,3,2,0,1,4,4,0,95,0,0,1,1,3,30000,47.81,48.96,40.33,42.78,50.19,53.61,44.54,55.3,59.12,54.33,39.82,56.08,0,0,0,9
26,NA,3,2,1,6,6,4,27,18,40,1,2,0,0,1,0,5,3,3,1,2,4.5,2.5,0,89,15,1,0,2,2,30000,59.84,49.4,56.06,55.43,49.81,46.53,61.3,46.38,54.15,43.28,54.29,49.38,1,0,0,11
27,1,3,2,1,4,6,4,18,22,32,1,3,0,1,0,0,2,2,2,0,2,4.5,3.5,0,96,6,NA,0,1,3,35000,44.33,44,43.94,58.21,45.12,48.6,50.4,57.93,45.31,46.07,50.26,54.86,0,0,0,8
28,1,3,2,1,6,6,4,15,17,25,1,2,0,0,1,1,2,3,2,0,2,4,2,0,97,3,0,1,1,2,37000,47.74,50.11,54.32,59.6,50.72,55.67,54.2,50.89,52.11,53.26,53.43,59.42,0,0,0,12
29,0,2,2,0,4,6,4,22,27,25,1,2,1,0,2,1,3,4,3,0,4,4.5,2,0,95,1,1,0,2,3,40000,61.91,50.78,62.62,52.36,56.07,50.08,62.52,58.67,60.38,54.39,56.79,56.53,0,0,0,19
30,0,1,2,0,3,6,4,30,33,43,1,2,2,2,1,1,2,4,5,0,2,5.5,4,0,82,0,1,NA,1,2,40000,65.81,55.94,59.57,55.73,58.43,55.75,41.14,47.84,51.35,55,53.24,54.92,0,0,0,8
31,0,2,2,1,6,6,2,19,29,29,1,2,1,0,0,1,3,3,0,1,2,4,4,0,95,10,NA,0,1,4,70000,52.59,44.41,43.01,54.27,43.97,53.73,42.34,42.46,45.64,52.39,44.33,51.88,0,0,0,23
32,0,2,2,0,8,6,4,23,19,25,1,2,1,0,1,0,5,4,0,1,2,4,4,0,95,10,1,0,1,2,35000,37.29,45.81,42.23,58.19,44.18,56.54,56.48,43.36,44.27,53.38,52.95,52.01,0,0,0,20
33,1,3,2,1,6,6,4,20,22,34,1,2,1,0,1,0,3,2,2,0,1,4.5,4,0,96,0,0,1,1,2,50000,65.35,57.44,60.97,61.98,60.3,59.1,62.98,58.73,59.69,54.98,61.2,61.8,0,0,0,10
34,0,3,2,1,5,6,4,1,9,25,1,2,4,0,1,0,4,4,4,0,1,4.5,4,0,96,0,0,1,1,3,NA,70.55,65.68,65.09,72.57,67.86,59.75,62.84,66.12,66.15,56.6,59.66,68.47,0,0,0,20
35,0,2,2,0,5,6,4,18,21,31,1,2,2,1,1,1,1,1,3,0,1,4,3,0,92,0,1,1,1,3,35000,40.31,52.15,58.28,49.42,47.37,53.25,57.6,56.49,51.95,54.52,49.42,63.93,0,1,1,30
36,1,3,2,0,5,6,4,22,25,43,1,2,1,0,2,1,3,0,1,1,2,3,3,0,97,6,1,1,1,2,60000,60.79,68.61,71.32,61.8,63.5,69.97,60.82,53.26,56.19,70.94,66.74,63.24,0,1,0,17
37,0,3,2,1,5,6,4,28,21,43,1,2,0,0,2,0,5,8,4,0,3,4,4,0,97,6,1,0,1,3,50000,46.14,58.38,46.68,52.89,44.14,57.37,45.45,41.86,53.51,54.48,46.65,45.85,0,0,0,26
38,0,2,2,1,4,6,4,17,18,29,1,3,0,0,2,0,2,2,0,1,1,4.5,4,0,NA,4,1,0,2,3,30000,57.81,44,45.85,50.08,48.3,47.02,49.76,46.38,56.38,50.59,52.66,51.13,0,1,1,19
39,1,2,2,1,4,6,4,25,18,30,1,3,2,0,3,1,2,2,0,0,2,4,3.5,0,NA,0,1,1,1,1,NA,49.74,42.96,44.82,48.76,48.32,43.1,49,43.38,48,40.65,46.12,40.53,1,0,1,14
40,1,2,2,1,6,6,1,20,25,40,1,2,5,3,2,1,6,7,1,1,2,5,4,1.5,NA,0,1,1,2,3,50000,46.18,73.8,54.29,54.94,38.22,62.12,54.7,50.34,50.5,64.3,59.49,55.69,0,0,0,6
41,0,2,2,1,9,6,4,10,17,27,1,1,4,2,3,0,6,1,2,0,4,3,3,0,96,2,0,1,2,3,30000,53.05,39.29,47.67,44.53,53.27,42.78,44.34,40.45,52.61,56.5,55.31,58.65,0,0,0,18
42,0,2,2,0,4,6,4,15,21,31,1,4,0,0,1,1,5,5,3,1,2,4.5,4,0,95,4,0,0,1,4,40000,40.38,56.85,59.62,47.59,45.6,54.12,62.37,50.62,31.76,49.8,49.56,53.32,0,0,0,20
43,1,2,2,0,5,6,4,29,35,38,1,1,2,0,2,1,5,5,1,1,1,4,4.5,0.5,95,4,1,1,2,3,45000,50.3,50.22,58.27,49.44,54.57,57.48,54.27,61,57.12,57.92,60.81,61.6,0,0,0,18
44,0,2,2,0,4,6,4,23,20,26,1,2,3,1,5,0,2,3,1,1,4,4,3,0,94,13,1,0,2,4,50000,55.92,43.82,48.2,57.22,53.18,53.51,50.43,65.64,56.27,50.96,50.96,55.99,1,0,1,25
45,0,2,2,1,4,6,4,7,4,32,1,2,0,0,1,1,3,3,0,0,2,4,3.5,0,NA,0,1,NA,1,3,50000,50.68,44.36,44.7,46.87,56.17,42.99,45.85,48.63,37.33,38.07,36.94,48.63,1,1,1,11
46,0,2,2,1,3,2,2,18,15,31,1,2,1,0,4,1,6,6,2,0,2,4,4,0,94,7,NA,0,1,2,27000,52,53.73,47.83,48.77,49.7,56.72,43.47,50.12,55.34,56.07,51.13,46.84,0,0,0,14
47,1,3,2,1,7,6,4,30,24,34,1,1,0,0,2,1,3,7,2,1,4,1,2.38,0.38,88,0,1,1,1,4,40000,58.49,58.94,58.25,53.59,58.9,63.51,50.55,58.59,65.76,62.1,60.48,59.58,0,0,0,23
48,0,2,2,0,5,6,4,22,32,29,1,2,0,0,4,1,0,6,0,0,2,4.5,4.5,0,95,9,1,0,1,3,35000,58.37,60.51,63.09,67.17,52.58,55.39,51.48,60.68,66.26,61.6,59.59,64.13,0,0,0,21
49,1,2,2,1,5,NA,3,25,25,43,1,2,1,0,2,1,1,5,3,0,2,3.5,3,0.5,92,0,NA,NA,1,3,45000,45,60.01,59.01,50.72,55.46,60.62,56.48,59.08,61.67,59.45,59.99,54.93,1,1,1,13
50,0,3,2,0,4,6,4,15,17,29,1,2,0,0,0,0,3,2,2,0,2,4,4,0,94,12,0,0,1,2,35000,43.63,52.6,61.74,54.27,57.7,56.25,62.38,56.52,58.82,60.98,61.41,61.98,0,0,1,6
51,1,2,2,1,3,6,4,19,24,34,1,2,1,0,3,1,5,6,3,1,2,4.5,4,0,NA,1,1,1,1,3,25000,61.87,54.28,53.99,56.93,58.48,54.12,58.43,59.68,55.45,55.1,52.47,59.6,0,0,0,17
52,0,3,2,0,4,6,4,13,15,27,1,2,0,0,1,0,5,2,0,1,2,4,4,0,92,0,0,0,1,2,35000,53.28,57.33,49.08,63.11,58.4,55.29,57.3,54.48,50.31,57.38,54.58,61.39,0,0,0,21
53,1,3,2,0,4,6,4,28,35,43,1,2,1,1,1,0,2,1,6,0,2,4,2,0,94,1,0,1,1,2,1.00E+05,55.17,61.95,59.77,52.36,57.45,60.07,50.83,52.9,51.2,62.13,48.78,57.44,0,0,0,18
54,0,3,2,0,4,6,4,22,21,29,1,2,0,1,0,0,2,2,0,0,3,4,3,0,94,1,0,0,1,2,35000,52.26,59.6,56.21,66.87,56.71,58.87,67.58,62.51,58.23,56.28,67.54,62.14,0,0,0,17
55,1,2,2,1,9,6,3,24,18,37,1,2,1,0,5,0,1,4,3,1,2,4,4,0,95,NA,1,NA,2,2,40000,55.87,64.85,59.27,53.69,48.7,60.47,58.89,54.76,57.26,62.45,59.07,51.19,0,1,0,15
56,0,1,2,1,5,6,4,13,15,25,1,2,1,1,2,0,3,3,0,1,1,4,3,0,NA,NA,1,0,2,3,36000,56.41,55.79,62.83,49.77,53.47,56.88,61.6,49.48,52.92,53.02,60.83,53.83,1,0,1,26
57,0,3,2,1,4,6,4,14,18,27,1,2,0,0,1,1,7,3,2,1,3,4,2,0,95,1,0,1,1,2,30000,55.66,42.25,50.06,56.9,58.2,44.08,50.9,56.9,61.84,43.14,58.53,57.63,0,0,0,17
58,1,2,2,0,4,6,4,21,18,29,1,2,1,0,1,1,3,3,5,0,2,4.5,4,0,NA,7,1,1,1,3,60000,61.8,69.39,68.04,69.47,62.14,64.79,62.21,63.96,65.34,64.23,63.8,66.89,0,0,0,21
59,0,2,2,1,8,1,4,30,33,43,1,2,0,0,1,0,3,3,0,0,3,3,4,0,93,0,NA,0,1,2,30000,39.77,43.43,59.98,44.86,44.29,54.14,39.24,39.23,38.66,47.59,36.55,42.36,0,0,0,15
60,0,2,2,1,4,6,4,29,28,38,1,3,2,0,1,1,3,2,3,1,2,4.5,4,0,93,0,0,0,1,3,NA,65.69,65.15,59.75,51.21,59.68,62.21,59.51,45.21,56.42,66.11,60.95,47.57,0,0,0,22
61,0,3,2,0,4,6,4,19,25,41,1,2,0,0,0,1,5,7,0,1,1,4,4.5,0,NA,0,1,0,1,3,45000,55.94,70.75,60.16,53.67,62.94,65.4,68.69,66.16,62.92,66.26,64.46,60.65,0,0,0,28
62,0,3,2,0,4,6,4,21,33,43,1,2,0,0,1,0,2,4,1,1,1,4.5,4.5,0,NA,0,0,1,1,2,27000,53.53,50.12,64.61,51.63,67.59,59.45,67.29,64.96,59.34,59.61,63.22,52.43,0,0,0,7
63,1,3,2,0,5,6,4,21,24,24,1,2,0,0,1,1,6,7,4,1,1,4,4.5,0,NA,0,NA,0,1,3,35000,65.94,73.33,74.41,64.35,66.76,68.59,66.41,67.21,66.65,71.12,68.29,65.39,0,0,0,12
64,1,3,2,1,4,6,4,20,19,29,1,1,0,0,0,1,4,7,3,0,1,4,3,0,45,1,1,1,1,4,35000,51.67,45.33,47.96,50.32,45.93,46.44,53.74,48.59,57.24,52.72,49.62,51.1,0,0,0,21
65,0,3,2,1,4,6,4,10,7,25,1,3,1,0,1,NA,4,3,2,0,1,4,4,0,94,0,1,0,1,3,30000,70.55,69.67,73.6,69.17,62.52,69.75,61.2,65.3,62.2,60.82,56.09,61.17,0,0,1,9
66,0,3,2,1,4,6,4,23,18,29,1,2,1,1,1,0,7,2,0,0,3,4,2.5,0,88,0,NA,0,1,1,20000,44.4,40.52,48.79,44.7,41.98,40,49.53,44.33,42.29,37.14,52.65,43.7,0,0,0,15
67,1,3,2,0,4,6,4,17,32,43,1,3,0,0,2,1,3,1,4,0,2,3,4,1,NA,NA,1,1,3,3,40000,54.53,70.04,51.11,52.58,56.83,59.72,48.7,61.25,49.46,61.19,50.27,55.32,0,0,0,27
68,1,2,2,1,7,6,3,28,27,32,1,2,0,0,2,1,1,2,3,0,2,4,4,1,94,3,1,1,1,3,30000,52.85,67.61,66.5,54.9,59.78,68.51,63.13,58.11,57.62,67.5,60.2,62.87,0,0,0,7
69,0,2,2,1,5,6,4,17,18,27,1,2,1,0,2,0,1,1,0,1,1,5.5,3,0,94,3,0,1,2,3,35000,58.71,54.19,50.77,45.69,59.68,54.45,58.8,44.8,46.19,43.37,43.9,49.4,0,0,0,22
70,0,2,2,1,4,6,3,23,35,43,1,2,1,2,3,0,4,3,2,1,2,5,4.5,0,98,8,1,0,1,4,60000,55.23,52.15,49.1,56.09,59.3,51.27,47.86,47.27,53.06,50.65,47.83,49.22,0,0,0,8
71,1,2,2,1,5,6,4,23,32,37,1,2,0,0,2,1,6,5,4,1,1,4,3,0,96,0,NA,1,2,3,50000,48.51,64.69,42.82,49.8,54.16,58.64,49.02,46.16,58.31,56.15,54.65,48.04,0,0,0,11
72,0,3,2,1,5,NA,4,11,18,29,1,2,1,0,2,0,2,3,0,0,1,5,4,0,94,0,1,0,1,2,25000,40,43.61,44.59,47.51,50.86,45.54,53.61,45.85,50.54,47.83,54.75,48.28,0,0,0,13
73,1,2,2,1,4,6,4,18,32,30,1,2,0,0,1,0,8,4,4,0,1,4,4.5,1,NA,0,1,1,1,3,45000,54.72,51.16,48.69,50.25,58.62,50.22,46.79,45.38,46.94,53.79,46.41,42.58,0,0,0,12
74,1,2,2,0,9,NA,3,24,26,35,1,2,3,2,1,1,5,5,2,1,4,3,2,0,NA,0,NA,NA,1,3,30000,39.64,43.99,38.3,34.93,40.88,55.35,56.18,45.87,33.67,55.71,32.63,51.25,1,0,0,10
75,0,2,1,1,6,6,4,15,7,25,2,2,2,2,3,0,3,3,0,1,2,3.5,3,0,95,0,0,0,2,1,60000,54.24,46.55,48.88,47.13,60.06,47.72,50.17,52.58,51.44,42.74,49.13,54.46,1,0,1,15
76,0,2,1,0,6,NA,4,27,26,43,2,1,1,0,2,1,3,6,5,1,2,4.25,4,1,97,7,NA,NA,2,3,70000,60.99,57.04,61.96,62.23,65.39,61.98,60.03,63.19,62.23,63.42,59.17,64.58,0,1,0,21
77,0,2,1,1,4,NA,2,21,24,30,2,3,2,0,1,1,2,4,2,0,2,4,2,0,NA,3,NA,NA,1,2,50000,49.55,52.98,53.73,55.6,60.08,57.5,52.32,58.48,56.91,60.78,49.42,50.46,1,1,0,12
78,0,2,1,1,4,6,4,17,7,16,2,2,2,0,2,0,1,1,2,0,2,3,4,0,95,0,1,0,1,2,43000,66.05,60.31,47.63,48.32,47.92,59.71,55.22,49.3,52.01,58.71,61.1,60.64,1,1,1,22
79,1,2,1,0,2,NA,4,20,33,41,2,2,2,2,0,0,3,2,2,0,2,4,1.75,0,NA,6,NA,NA,1,3,50000,49.04,42.67,49.86,NA,39.47,45.01,45.64,40.38,57.5,40.78,46,48.87,0,0,0,14
80,0,2,1,0,7,NA,2,23,28,27,2,3,1,1,1,0,2,1,0,1,2,3,3,0,94,2,NA,NA,1,2,55000,37.17,46.67,45.9,38.59,42.41,50.83,48.39,50.33,34.71,48.53,50.31,51.71,1,0,1,10
81,1,3,1,1,6,NA,4,19,29,35,2,2,1,0,2,1,2,2,2,0,1,4,5,1,95,4,NA,NA,1,3,35000,70.55,67.23,60.27,67.25,66.02,66.45,58.73,65.09,66.74,63.68,63.14,61.94,0,1,1,18
82,0,2,1,1,3,6,4,21,19,27,2,2,1,0,1,0,1,2,0,0,4,3.25,1,0,95,4,0,0,1,1,20000,38.96,37.14,45.48,45.12,42.13,36.9,37.25,41.81,39.15,34.36,38.76,41.92,0,0,0,16
83,1,2,2,1,4,6,4,17,20,32,2,2,2,0,1,1,5,7,2,0,1,5,3.5,0,96,6,1,1,1,3,50000,42.12,45.86,40.08,47.05,49.17,45.59,48.89,45.91,47.24,47.73,52.78,46.38,0,0,0,15
84,0,3,2,0,5,6,4,20,21,29,2,4,3,4,0,0,5,2,1,0,2,4,3,0,96,6,1,1,1,2,40000,64.4,55.33,61.12,58.23,58.42,56.21,49.69,64.07,59.16,57.13,58.46,57.35,0,1,1,9
85,0,2,1,0,4,6,4,24,19,27,2,2,2,0,2,0,2,2,6,1,1,4,3,0,96,0,1,1,1,2,45000,70.55,48.92,53.33,66.56,66.52,54.67,54.39,57.08,63.08,55.86,53.09,65.39,1,0,1,21
86,0,2,1,1,6,6,4,15,31,29,2,2,1,1,3,1,2,2,2,0,2,4,4.5,0,96,0,NA,0,1,3,50000,65.35,57.97,62.43,56.97,59.49,59.77,61.04,53.52,58.4,62.14,58.4,57.61,0,0,0,22
87,0,3,1,0,4,6,4,30,35,41,2,2,3,0,2,1,3,8,3,0,1,4,4,0,90,0,0,0,1,3,NA,61.42,61.8,63.16,56.93,65.96,64.12,64.56,66.34,66.55,66.87,62.52,64.34,0,0,0,19
88,1,3,1,0,3,6,4,17,21,29,2,2,1,0,1,1,3,0,0,0,1,4,4,0,90,0,0,1,1,2,25000,70.55,62.34,57.11,61.11,65.15,63.06,63.71,63.4,59.22,61.41,63.59,62.32,0,0,0,29
89,0,2,2,0,4,6,4,32,33,43,2,2,0,0,2,1,2,5,4,1,1,4,4,0,94,18,1,0,1,2,20000,52.34,46.3,45.33,48.3,54.18,51.01,56.03,53.9,59.74,59.48,50.59,50.07,0,0,0,13
90,0,2,2,0,4,6,4,25,18,41,2,1,0,0,1,1,6,8,3,1,1,4.5,4,0,96,9,1,0,2,4,80000,64.29,58.76,73.6,71.94,61.9,60.42,66.5,67.74,62.39,67.75,68.29,70.04,0,0,0,28
91,0,3,2,0,6,6,4,23,30,43,2,2,1,0,1,1,6,4,3,0,2,4,4,0,NA,3,1,NA,1,3,32000,52.69,53.68,58.66,58.97,48.11,52.68,58.51,48.59,47.08,61.13,63.29,58.11,0,0,0,19
92,0,2,2,1,5,6,4,19,18,29,2,2,1,1,2,0,3,2,0,0,3,4,2.5,0,97,0,0,0,1,1,25000,62.09,49.99,56.24,55.05,60.48,48.36,42.66,55.17,53.36,46.01,44.44,49.64,0,0,0,16
93,NA,2,2,1,6,6,4,18,25,25,2,2,1,0,1,0,3,4,0,1,2,4,3,0,97,0,0,0,1,3,30000,53.24,47.78,46.74,53.89,58.93,53.68,42.2,54.43,53.55,49.62,47.82,50.21,1,0,0,18
94,1,2,1,1,5,6,4,24,23,32,2,2,1,0,1,0,NA,3,3,0,1,4,4,1,93,0,1,1,2,3,30000,59.95,65.81,67.36,53.34,66.63,64.39,54.75,54.42,57.99,63.07,55.47,55.64,0,0,0,11
95,0,2,1,1,5,6,4,29,22,33,2,2,2,0,2,0,1,3,2,1,3,3.7,3,0,93,0,1,1,1,2,30000,50.34,39.54,38.55,46.82,53.66,41.7,47.09,50.4,60.74,53.21,49.47,50.8,0,0,0,25
96,0,2,2,0,6,6,3,17,29,40,2,1,3,1,1,0,2,2,0,1,2,3.5,4,0,95,22,1,0,2,3,50000,56.73,53.62,46.47,57.77,52.02,58.24,54.64,49.34,56.73,63.54,62.46,57.16,1,1,1,31
97,1,3,3,0,5,6,4,19,26,22,1,1,2,1,1,1,4,7,3,1,2,4,3,0,91,3,0,1,1,3,60000,50,51.32,66.49,54.19,59.41,54.43,61.63,51.09,59.04,52.99,60.31,52.52,0,0,1,9
98,0,3,3,1,4,6,4,18,19,29,1,2,2,2,3,1,7,4,2,0,3,4,4,0.5,NA,0,NA,NA,1,2,20000,52.69,64.82,47.46,64.93,55.11,57.09,52.81,43.51,52.92,57.38,51.5,47.18,1,0,0,16
